;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry;dst_center;vist_dist;trams_dist
749;Wola Justowska, K. Jadwigi, Bez Pcc;Kraków , Zwierzyniec, Wola Justowska;4 pokoje;729225.0;69.45;10500.0;https://www.otodom.pl/oferta/wola-justowska-k-jadwigi-bez-pcc-ID3ZAEU.html#332e1d6712;2020-02-05 18:36:10.166229;Justowska;Kraków, Kraków , Zwierzyniec, Wola Justowska, Justowska;FUP Kraków 23, 238, Królowej Jadwigi, Zwierzyniec, Kraków, województwo małopolskie, 30-220, Polska;(50.0650619, 19.877649, 0.0);50.0650619;19.877649;0.0;POINT (562794.3317268024 244568.9814333031);4332;2372.3366226292233;1855.6753774539895
801;Okazyjnie dwa pokoje ul.Krowoderskich Zuchów;Kraków , Krowodrza;2 pokoje;325000.0;30.0;10833.0;https://www.otodom.pl/oferta/okazyjnie-dwa-pokoje-ul-krowoderskich-zuchow-ID44t0h.html#a9383fdd22;2020-02-05 18:36:12.140411;Zuchów;Kraków, Kraków , Krowodrza, Zuchów;Krowoderskich Zuchów, Krowodrza, Prądnik Biały, Kraków, województwo małopolskie, 31-271, Polska;(50.0838836, 19.930691, 0.0);50.0838836;19.930691;0.0;POINT (566563.2797053672 246706.9391442938);2597;3205.109228395317;225.6837759607873
802;Mieszkanie 3-pokojowe, 73 m2, Kraków, Ruczaj;Kraków , Dębniki, Ruczaj;2 pokoje;439000.0;73.0;6014.0;https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-73-m2-krakow-ruczaj-ID41sYk.html#a9383fdd22;2020-02-05 18:36:12.140411;Ruczaj;Kraków, Kraków , Dębniki, Ruczaj, Ruczaj;Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska;(50.0259495, 19.9198508, 0.0);50.0259495;19.9198508;0.0;POINT (565867.2616859295 240257.9741840241);4107;2081.2718460046985;635.6711627790163
829;Kraków – Nowa Huta – os. Centrum E– 74 m2;Kraków , Nowa Huta;4 pokoje;519000.0;74.0;7014.0;https://www.otodom.pl/oferta/krakow-nowa-huta-os-centrum-e-74-m2-ID44sdX.html#cf5342ca27;2020-02-05 18:36:13.023317;"""Kraków""";"Kraków, Kraków , Nowa Huta, ""Kraków""";Kraków Nowa Huta, Organki, Kombinat, Nowa Huta, Kraków, województwo małopolskie, 31-990, Polska;(50.0899571, 20.1269749, 0.0);50.0899571;20.1269749;0.0;POINT (580591.0830060896 247575.3607144151);13865;4889.870233355072;2022.143400059416
857;Mieszkanie, 42 m², Kraków;Kraków , Grzegórzki;2 pokoje;390000.0;42.0;9286.0;https://www.otodom.pl/oferta/mieszkanie-42-m-krakow-ID41uF1.html#589aa700e3;2020-02-05 18:36:14.002772;"""Kraków""";"Kraków, Kraków , Grzegórzki, ""Kraków""";Kraków Główny, Peron 3, Wesoła, Stare Miasto, Kraków, województwo małopolskie, 30-901, Polska;(50.0686663, 19.947802, 0.0);50.0686663;19.947802;0.0;POINT (567808.5033167193 245030.9240660574);1103;1918.072922350171;47.0213498114101
962;M3 77m2 2xgaraż. Poznańska 5 KRK Właściciel. 900K;Kraków , Krowodrza;3 pokoje;900000.0;77.0;11688.0;https://www.otodom.pl/oferta/m3-77m2-2xgaraz-poznanska-5-krk-wlasciciel-900k-ID44o2G.html#51deb94ee3;2020-02-05 18:36:17.648419;Poznańska;Kraków, Kraków , Krowodrza, Poznańska;Poznańska, Stara Krowodrza, Krowodrza, Kraków, województwo małopolskie, 30-011, Polska;(50.0778637, 19.9248844, 0.0);50.0778637;19.9248844;0.0;POINT (566156.2809729435 246032.6677610809);2096;2561.875798759142;761.1691912410207
965;Piękny nowy apartament Mogilska 29,40 m2,własność;Kraków , Grzegórzki;1 pokój;318000.0;29.4;10816.0;https://www.otodom.pl/oferta/piekny-nowy-apartament-mogilska-29-40-m2-wlasnosc-ID44lEl.html#51deb94ee3;2020-02-05 18:36:17.652477;Mogilska;Kraków, Kraków , Grzegórzki, Mogilska;Mogilska, Osiedle Oficerskie, Grzegórzki, Kraków, województwo małopolskie, 31-526, Polska;(50.0666138, 19.9645711, 0.0);50.0666138;19.9645711;0.0;POINT (569011.1389877439 244818.1431406736);1997;1453.6582216415927;319.6505819173223
969;3 pok. | Cystersów/ Grzegórzki | ogródek 70 mkw;Kraków , Grzegórzki;3 pokoje;995000.0;60.28;16506.0;https://www.otodom.pl/oferta/3-pok-cystersow-grzegorzki-ogrodek-70-mkw-ID44wY7.html#51deb94ee3;2020-02-05 18:36:17.652477;Cystersów;Kraków, Kraków , Grzegórzki, Cystersów;Cystersów, Grzegórzki, Kraków, województwo małopolskie, 31-527, Polska;(50.0663453, 19.9697466, 0.0);50.0663453;19.9697466;0.0;POINT (569381.8061475165 244793.0926263873);2343;1261.0198728420842;54.90573630419935
971;Mieszkanie do wykończenia przy al. 29 Listopada;Kraków , Stare Miasto;2 pokoje;360000.0;37.0;9730.0;https://www.otodom.pl/oferta/mieszkanie-do-wykonczenia-przy-al-29-listopada-ID44wVV.html#51deb94ee3;2020-02-05 18:36:17.653919;Listopada;Kraków, Kraków , Stare Miasto, Listopada;Dekanat Kraków-Centrum, Aleja 29 Listopada, Rogatka Warszawska, Stare Miasto, Kraków, województwo małopolskie, 31-482, Polska;(50.0660091, 19.936558555188547, 0.0);50.0660091;19.936558555188547;0.0;POINT (567007.8295365766 244725.4327599918);566;1286.29776947071;149.88985598589318
980;Mieszkanie 2 pok. 40m2 z 2007r. ul.Okulickiego;Kraków , Bieńczyce;2 pokoje;350000.0;40.0;8750.0;https://www.otodom.pl/oferta/mieszkanie-2-pok-40m2-z-2007r-ul-okulickiego-ID444Ob.html#51deb94ee3;2020-02-05 18:36:17.655912;Okulickiego;Kraków, Kraków , Bieńczyce, Okulickiego;Generała Leopolda Okulickiego, Bieńczyce, Kraków, województwo małopolskie, 31-873, Polska;(50.0881722, 20.0043329, 0.0);50.0881722;20.0043329;0.0;POINT (571823.668221917 247251.8359452272);5616;3290.5079724176176;612.3783417887632
981;Ruczaj, 50m2, 2pokoje,garaz, FV,Wlasciciel,BezPCC;Kraków , Dębniki, Ruczaj;2 pokoje;549000.0;50.0;10980.0;https://www.otodom.pl/oferta/ruczaj-50m2-2pokoje-garaz-fv-wlasciciel-bezpcc-ID44nx8.html#51deb94ee3;2020-02-05 18:36:17.655912;Ruczaj;Kraków, Kraków , Dębniki, Ruczaj, Ruczaj;Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska;(50.0259495, 19.9198508, 0.0);50.0259495;19.9198508;0.0;POINT (565867.2616859295 240257.9741840241);4107;2081.2718460046985;635.6711627790163
984;Tylko u nas - apartament Czapskich/ Jabłonowskich;Kraków , Stare Miasto;1 pokój;599000.0;43.0;13930.0;https://www.otodom.pl/oferta/tylko-u-nas-apartament-czapskich-jablonowskich-ID44wOO.html#51deb94ee3;2020-02-05 18:36:17.655912;Czapskich;Kraków, Kraków , Stare Miasto, Czapskich;Czapskich, Nowy Świat, Stare Miasto, Kraków, województwo małopolskie, 31-110, Polska;(50.0605941, 19.9300795, 0.0);50.0605941;19.9300795;0.0;POINT (566551.772612578 244117.7657644656);567;615.9396825346561;53.206438659741515
988;4 Pokoje 100m2 balkon | Stare Miasto | Sebastiana;Kraków , Stare Miasto;4 pokoje;1149000.0;100.57;11425.0;https://www.otodom.pl/oferta/4-pokoje-100m2-balkon-stare-miasto-sebastiana-ID426gm.html#20f82b348a;2020-02-05 18:36:18.560853;Sebastiana;Kraków, Kraków , Stare Miasto, Sebastiana;Świętego Sebastiana, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-050, Polska;(50.0545616, 19.9451494, 0.0);50.0545616;19.9451494;0.0;POINT (567638.5622033864 243460.7861377941);879;762.3719259087767;220.9496033848634
989;Super wykończona kawalerka przy Placu Boh. Getta;Kraków , Podgórze;1 pokój;590000.0;39.0;15128.0;https://www.otodom.pl/oferta/super-wykonczona-kawalerka-przy-placu-boh-getta-ID42Tys.html#20f82b348a;2020-02-05 18:36:18.560853;Getta;Kraków, Kraków , Podgórze, Getta;Plac Bohaterów Getta, Podgórze, Kraków, województwo małopolskie, Polska;(50.0467232, 19.95438111538139, 0.0);50.0467232;19.95438111538139;0.0;POINT (568310.3352903129 242597.9485702962);1972;221.13563694464628;44.99955274645287
992;Sprzedam mieszkanie 3-pokojowe ul. Reduta Kraków;Kraków , Prądnik Czerwony;3 pokoje;530000.0;54.16;9786.0;https://www.otodom.pl/oferta/sprzedam-mieszkanie-3-pokojowe-ul-reduta-krakow-ID44wKu.html#20f82b348a;2020-02-05 18:36:18.561849;Reduta;Kraków, Kraków , Prądnik Czerwony, Reduta;Reduta, Śródmieście, Prądnik Czerwony, Kraków, województwo małopolskie, 31-422, Polska;(50.0990724, 19.9742987, 0.0);50.0990724;19.9742987;0.0;POINT (569660.039822349 248434.9460827624);4963;4401.722872682564;1635.3727453270246
994;Mieszkanie, 25 m², Kraków;Kraków , Podgórze;1 pokój;299000.0;25.0;11960.0;https://www.otodom.pl/oferta/mieszkanie-25-m-krakow-ID44wKf.html#20f82b348a;2020-02-05 18:36:18.561849;"""Kraków""";"Kraków, Kraków , Podgórze, ""Kraków""";Kraków Płaszów, Peron 2 - moderniacja, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-902, Polska;(50.0345327, 19.9754459, 0.0);50.0345327;19.9754459;0.0;POINT (569835.7166101226 241262.450246132);3976;1929.7407419703036;161.26094241811987
995;Jednopokojowy apartament, 34 m2, Paulińska;Kraków , Stare Miasto, Kazimierz;1 pokój;549000.0;34.0;16147.0;https://www.otodom.pl/oferta/jednopokojowy-apartament-34-m2-paulinska-ID44wKc.html#20f82b348a;2020-02-05 18:36:18.561849;Paulińska;Kraków, Kraków , Stare Miasto, Kazimierz, Paulińska;Paulińska, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-065, Polska;(50.0491262, 19.9381001, 0.0);50.0491262;19.9381001;0.0;POINT (567141.6786342824 242850.2869292656);1320;162.14816241617189;153.12974090417927
996;Sprzedam mieszkanie Kraków ul. Św. Wawrzyńca;Kraków , Stare Miasto;2 pokoje;780000.0;54.0;14444.0;https://www.otodom.pl/oferta/sprzedam-mieszkanie-krakow-ul-sw-wawrzynca-ID44wJb.html#20f82b348a;2020-02-05 18:36:18.561849;"""Kraków""";"Kraków, Kraków , Stare Miasto, ""Kraków""";Kraków, województwo małopolskie, Polska;(50.0619474, 19.9368564, 0.0);50.0619474;19.9368564;0.0;POINT (567034.7997178583 244274.2426178176);133;872.2474472817381;319.62554019029886
997;CENTRUM, Stare Miasto, Długa, Św.Filipa,WŁAŚCICIEL;Kraków , Stare Miasto;1 pokój;398000.0;32.5;12246.0;https://www.otodom.pl/oferta/centrum-stare-miasto-dluga-sw-filipa-wlasciciel-ID44fMP.html#20f82b348a;2020-02-05 18:36:18.561849;Długa;Kraków, Kraków , Stare Miasto, Długa;Długa, Kleparz, Stare Miasto, Kraków, województwo małopolskie, 30-004, Polska;(50.0730155, 19.9358125, 0.0);50.0730155;19.9358125;0.0;POINT (566944.6979633655 245503.5249414677);1345;2032.727059863506;75.29934594629512
1001;Mieszkania w zabudowie bliźniaczej przy Tynieckiej;Kraków , Dębniki;4 pokoje;540000.0;71.0;7606.0;https://www.otodom.pl/oferta/mieszkania-w-zabudowie-blizniaczej-przy-tynieckiej-ID44wIN.html#20f82b348a;2020-02-05 18:36:18.561849;budowie;Kraków, Kraków , Dębniki, budowie;Cmentarz komunalny w budowie, Dębniki, Kraków, województwo małopolskie, Polska;(50.0000448, 19.842410046602595, 0.0);50.0000448;19.842410046602595;0.0;POINT (560354.5138263865 237313.3267221069);9621;3694.8078275194957;3894.031327667092
1004;*Stare Dębniki* Kawalerka w odnowionej kamienicy!;Kraków , Dębniki;1 pokój;219000.0;15.21;14398.0;https://www.otodom.pl/oferta/stare-debniki-kawalerka-w-odnowionej-kamienicy-ID44wIv.html#20f82b348a;2020-02-05 18:36:18.561849;Dębnicki;Kraków, Kraków , Dębniki, Dębnicki;Park Dębnicki, Dębniki, Kraków, województwo małopolskie, Polska;(50.0495234, 19.91693092494888, 0.0);50.0495234;19.91693092494888;0.0;POINT (565626.040058322 242875.6318850024);1973;147.50905019145674;346.35659507003743
1005;2 pokojowe*po remoncie*ul. Spokojna;Kraków , Krowodrza;2 pokoje;572000.0;47.67;11999.0;https://www.otodom.pl/oferta/2-pokojowepo-remoncieul-spokojna-ID44wIu.html#20f82b348a;2020-02-05 18:36:18.562846;Spokojna;Kraków, Kraków , Krowodrza, Spokojna;Spokojna, Nowa Wieś, Krowodrza, Kraków, województwo małopolskie, 30-054, Polska;(50.0690013, 19.9173355, 0.0);50.0690013;19.9173355;0.0;POINT (565628.4175093587 245040.9530339558);1723;1770.34520304457;356.65249559796973
1008;Dwupokojowe, po remoncie, z widokiem na Wawel;Kraków , Stare Miasto;2 pokoje;689000.0;77.0;8948.0;https://www.otodom.pl/oferta/dwupokojowe-po-remoncie-z-widokiem-na-wawel-ID42Wtu.html#20f82b348a;2020-02-05 18:36:18.562846;Wawelu;Kraków, Kraków , Stare Miasto, Wawelu;Bazylika archikatedralna pw. Świętych Stanisława i Wacława, 1, Zamek Królewski na Wawelu, Stare Miasto, Kraków, województwo małopolskie, 31-001, Polska;(50.05465045, 19.935455391368265, 0.0);50.05465045;19.935455391368265;0.0;POINT (566944.708477642 243461.9325701632);729;209.614606719462;283.44155971783204
1009;*Stare Dębniki* Kawalerka | Komórka i Balkon;Kraków , Dębniki;1 pokój;229000.0;15.21;15056.0;https://www.otodom.pl/oferta/stare-debniki-kawalerka-komorka-i-balkon-ID44wHL.html#20f82b348a;2020-02-05 18:36:18.562846;Dębnicki;Kraków, Kraków , Dębniki, Dębnicki;Park Dębnicki, Dębniki, Kraków, województwo małopolskie, Polska;(50.0495234, 19.91693092494888, 0.0);50.0495234;19.91693092494888;0.0;POINT (565626.040058322 242875.6318850024);1973;147.50905019145674;346.35659507003743
1012;Kawalerka Stare Miasto, Lubicz, Topolowa;Kraków , Stare Miasto;1 pokój;421000.0;28.89;14573.0;https://www.otodom.pl/oferta/kawalerka-stare-miasto-lubicz-topolowa-ID41ZCg.html#20f82b348a;2020-02-05 18:36:18.562846;Lubicz;Kraków, Kraków , Stare Miasto, Lubicz;Lubicz, Wesoła, Stare Miasto, Kraków, województwo małopolskie, 31-156, Polska;(50.0646181, 19.9449621, 0.0);50.0646181;19.9449621;0.0;POINT (567611.0227438222 244578.3936977992);639;1439.1021932694316;43.192446428414726
1013;Sprzedam Mieszkanie Kraków ul. Nowosądecka, 34 m2,;Kraków , Bieżanów-Prokocim;2 pokoje;335000.0;34.1;9824.0;https://www.otodom.pl/oferta/sprzedam-mieszkanie-krakow-ul-nowosadecka-34-m2-ID44wGK.html#20f82b348a;2020-02-05 18:36:18.562846;"""Kraków""";"Kraków, Kraków , Bieżanów-Prokocim, ""Kraków""";Kraków Bieżanów, Stacyjna, Bieżanów, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-851, Polska;(50.0216944, 20.0292567, 0.0);50.0216944;20.0292567;0.0;POINT (573707.8040077245 239887.1503805425);7847;2752.061209853128;792.7099252041693
1019;Mieszkanie dwupoziomowe z garażem Kraków Wrocławsk;Kraków , Krowodrza;4 pokoje;759000.0;102.0;7441.0;https://www.otodom.pl/oferta/mieszkanie-dwupoziomowe-z-garazem-krakow-wroclawsk-ID44wGk.html#310b8f369d;2020-02-05 18:36:19.662212;"""Kraków""";"Kraków, Kraków , Krowodrza, ""Kraków""";Muzeum Historyczne Miasta Krakowa Ulica Pomorska, 2, Pomorska, Nowa Wieś, Krowodrza, Kraków, województwo małopolskie, 30-039, Polska;(50.0707757, 19.9248071, 0.0);50.0707757;19.9248071;0.0;POINT (566160.5045714349 245244.7674069256);1438;1786.5194731970412;152.81512099634932
1020;2-pokojowy apartament, Wola Justowska, Ostatni!;Kraków , Zwierzyniec, Wola Justowska;2 pokoje;472900.0;39.34;12021.0;https://www.otodom.pl/oferta/2-pokojowy-apartament-wola-justowska-ostatni-ID44wFE.html#310b8f369d;2020-02-05 18:36:19.662212;Justowska;Kraków, Kraków , Zwierzyniec, Wola Justowska, Justowska;FUP Kraków 23, 238, Królowej Jadwigi, Zwierzyniec, Kraków, województwo małopolskie, 30-220, Polska;(50.0650619, 19.877649, 0.0);50.0650619;19.877649;0.0;POINT (562794.3317268024 244568.9814333031);4332;2372.3366226292233;1855.6753774539895
1021;ul. Łepkowskiego - mieszkanie 2 pokojwoe;Kraków , Prądnik Czerwony;2 pokoje;453800.0;56.73;7999.0;https://www.otodom.pl/oferta/ul-lepkowskiego-mieszkanie-2-pokojwoe-ID44wFe.html#310b8f369d;2020-02-05 18:36:19.662212;Łepkowskiego;Kraków, Kraków , Prądnik Czerwony, Łepkowskiego;Józefa Łepkowskiego, Prądnik Czerwony, Kraków, województwo małopolskie, 31-423, Polska;(50.0884147, 19.963569, 0.0);50.0884147;19.963569;0.0;POINT (568908.1881470648 247240.3867940204);3553;3511.2744142154284;1634.7631031289277
1026;4 pokoje z tarasem w Wiślane Tarasy 2.0;Kraków , Grzegórzki;4 pokoje;1220000.0;84.0;14524.0;https://www.otodom.pl/oferta/4-pokoje-z-tarasem-w-wislane-tarasy-2-0-ID44wEM.html#310b8f369d;2020-02-05 18:36:19.662212;Wiślana;Kraków, Kraków , Grzegórzki, Wiślana;Mierzeja Wiślana, Mały Płaszów, Podgórze, Kraków, województwo małopolskie, 30-716, Polska;(50.038134, 20.0042085, 0.0);50.038134;20.0042085;0.0;POINT (571889.5218590654 241689.9986086423);5368;859.5381344545566;289.27065938745534
1028;Mieszkanie, 26,50 m², Kraków;Kraków , Podgórze, Stare Podgórze;2 pokoje;374000.0;26.5;14113.0;https://www.otodom.pl/oferta/mieszkanie-26-50-m-krakow-ID44wEK.html#310b8f369d;2020-02-05 18:36:19.662212;"""Kraków""";"Kraków, Kraków , Podgórze, Stare Podgórze, ""Kraków""";Kraków Płaszów, Peron 2 - moderniacja, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-902, Polska;(50.0345327, 19.9754459, 0.0);50.0345327;19.9754459;0.0;POINT (569835.7166101226 241262.450246132);3976;1929.7407419703036;161.26094241811987
1029;Mieszkanie, 83,57 m², Kraków;Kraków , Podgórze;4 pokoje;830000.0;83.57;9932.0;https://www.otodom.pl/oferta/mieszkanie-83-57-m-krakow-ID44wEI.html#310b8f369d;2020-02-05 18:36:19.662212;"""Kraków""";"Kraków, Kraków , Podgórze, ""Kraków""";Kraków Płaszów, Peron 2 - moderniacja, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-902, Polska;(50.0345327, 19.9754459, 0.0);50.0345327;19.9754459;0.0;POINT (569835.7166101226 241262.450246132);3976;1929.7407419703036;161.26094241811987
1031;Gotowy produkt inwestycyjny/Stare Dębniki/ 34m2;Kraków , Dębniki, Stare Dębniki;2 pokoje;608600.0;34.0;17900.0;https://www.otodom.pl/oferta/gotowy-produkt-inwestycyjny-stare-debniki-34m2-ID44wE5.html#310b8f369d;2020-02-05 18:36:19.662212;Dębnicki;Kraków, Kraków , Dębniki, Stare Dębniki, Dębnicki;Park Dębnicki, Dębniki, Kraków, województwo małopolskie, Polska;(50.0495234, 19.91693092494888, 0.0);50.0495234;19.91693092494888;0.0;POINT (565626.040058322 242875.6318850024);1973;147.50905019145674;346.35659507003743
1035;Mieszkanie Białoruska Film!!;Kraków , Podgórze Duchackie;2 pokoje;430000.0;43.0;10000.0;https://www.otodom.pl/oferta/mieszkanie-bialoruska-film-ID44wDh.html#310b8f369d;2020-02-05 18:36:19.662212;Białoruska;Kraków, Kraków , Podgórze Duchackie, Białoruska;Białoruska, Wola Duchacka Wschód, Podgórze Duchackie, Kraków, województwo małopolskie, 30-659, Polska;(50.0175041, 19.9643902, 0.0);50.0175041;19.9643902;0.0;POINT (569068.6279685873 239359.4685880961);5191;3342.0279732955746;448.232741866449
1036;Mieszkanie, 39 m², Kraków;Kraków , Podgórze, Płaszów;1 pokój;372000.0;39.0;9538.0;https://www.otodom.pl/oferta/mieszkanie-39-m-krakow-ID44wCY.html#310b8f369d;2020-02-05 18:36:19.662212;"""Kraków""";"Kraków, Kraków , Podgórze, Płaszów, ""Kraków""";Kraków Płaszów, Peron 2 - moderniacja, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-902, Polska;(50.0345327, 19.9754459, 0.0);50.0345327;19.9754459;0.0;POINT (569835.7166101226 241262.450246132);3976;1929.7407419703036;161.26094241811987
1037;Mieszkanie, 52 m², Kraków;Kraków , Dębniki;2 pokoje;637000.0;52.0;12250.0;https://www.otodom.pl/oferta/mieszkanie-52-m-krakow-ID44wCX.html#310b8f369d;2020-02-05 18:36:19.662212;"""Kraków""";"Kraków, Kraków , Dębniki, ""Kraków""";Kraków Sidzina, Topografów, Sidzina, Dębniki, Kraków, województwo małopolskie, 30-399, Polska;(49.9855309, 19.8746169, 0.0);49.9855309;19.8746169;0.0;POINT (562680.8089087415 235726.6111213788);9535;5855.212244920903;3754.3465494554416
